RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15121958,Customer_0,397,France,Female,27,9,175263.177312391,1,0,0,53271.420982467316,0
2,15671155,Customer_1,400,Spain,Male,45,1,128305.72087678718,1,1,0,77524.99098073662,0
3,15131932,Customer_2,648,France,Female,21,8,14544.89863803114,1,1,0,15669.91615828838,0
4,15365838,Customer_3,447,France,Male,31,7,0.0,2,1,1,7112.090936944449,0
5,15259178,Customer_4,788,Germany,Male,29,7,230268.04143421922,2,1,0,198698.01347514038,0
6,15644167,Customer_5,565,Spain,Female,71,9,39840.34254289788,2,1,0,129166.19805856928,0
7,15110268,Customer_6,526,Spain,Male,55,4,0.0,1,1,0,53692.33515643399,0
8,15732180,Customer_7,729,Spain,Male,64,4,0.0,2,1,1,75130.24588656393,0
9,15054886,Customer_8,823,Spain,Female,54,2,87175.92855447986,1,1,1,141430.48904546542,0
10,15137337,Customer_9,429,France,Male,27,1,15949.814744873238,3,1,1,29049.71812992841,0
11,15999890,Customer_10,534,France,Female,58,8,143475.65784637726,2,1,1,84985.1879144038,0
12,15521430,Customer_11,716,Spain,Female,44,5,122090.68110713518,1,0,1,172668.97738778015,0
13,15954698,Customer_12,810,France,Male,59,7,0.0,1,0,1,54261.157243347356,0
14,15087498,Customer_13,748,Germany,Male,73,3,227365.4320314613,2,1,1,34559.59196248042,0
15,15899159,Customer_14,376,Germany,Male,29,4,141450.11180635955,1,1,0,176988.05152326747,1
16,15912756,Customer_15,801,France,Male,39,9,238544.02201823436,2,0,1,189998.37446100335,0
17,15175203,Customer_16,813,Spain,Male,21,4,45555.34279957688,1,0,1,176049.71848395927,0
18,15191335,Customer_17,797,Germany,Female,46,9,0.0,2,1,1,184461.21549103424,1
19,15278167,Customer_18,827,France,Male,53,3,209162.02545082063,1,1,0,81537.01424586035,0
20,15041090,Customer_19,841,Spain,Male,62,1,0.0,2,0,0,93670.9682484313,0
21,15329365,Customer_20,763,France,Female,74,5,0.0,1,1,0,124127.0851119701,1
22,15064820,Customer_21,769,France,Female,31,3,120492.59866485285,1,1,1,11748.084320886263,0
