CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,RFM_Score,Has_Zero_Balance,Balance_to_Salary_Ratio,Mobile_Money_Risk,Digital_Adoption_Score,Loyalty_Score,Real_Balance_After_Inflation,Geography,Gender,Account_Currency,Exited
397,27,9,175263.177312391,1,0,0,53271.42098246732,2.5500000000000003,0,3.2899,2,0,9.5,166917.31,France,Female,USD,0
400,45,1,128305.72087678718,1,1,0,77524.99098073662,2.5500000000000003,0,1.655,2,1,1.5,122195.92,Spain,Male,USD,0
648,21,8,14544.89863803114,1,1,0,15669.91615828838,2.0500000000000003,0,0.9281,2,1,8.5,13852.28,France,Female,USD,0
447,31,7,0.0,2,1,1,7112.090936944449,1.35,1,0.0,1,4,10.0,0.0,France,Male,USD,0
788,29,7,230268.0414342192,2,1,0,198698.0134751404,3.1500000000000004,0,1.1589,1,2,8.0,219302.9,Germany,Male,USD,0
565,71,9,39840.34254289788,2,1,0,129166.19805856928,2.4000000000000004,0,0.3084,1,2,10.0,37943.18,Spain,Female,USD,0
526,55,4,0.0,1,1,0,53692.33515643399,1.8000000000000003,1,0.0,3,1,4.5,0.0,Spain,Male,ZWL,0
729,64,4,0.0,2,1,1,75130.24588656393,1.35,1,0.0,1,4,7.0,0.0,Spain,Male,USD,0
823,54,2,87175.92855447986,1,1,1,141430.48904546542,1.5,0,0.6164,1,3,4.5,83024.69,Spain,Female,USD,0
429,27,1,15949.814744873238,3,1,1,29049.71812992841,1.9499999999999997,0,0.549,0,4,4.5,15190.3,France,Male,USD,0
534,58,8,143475.65784637726,2,1,1,84985.1879144038,2.1,0,1.6882,0,4,11.0,136643.48,France,Female,USD,0
716,44,5,122090.68110713518,1,0,1,172668.97738778015,1.75,0,0.7071,1,2,7.5,116276.84,Spain,Female,USD,0
810,59,7,0.0,1,0,1,54261.15724334736,1.0,1,0.0,2,2,9.5,0.0,France,Male,USD,0
748,73,3,227365.4320314613,2,1,1,34559.59196248042,2.35,0,6.5787,0,4,6.0,216538.51,Germany,Male,USD,0
376,29,4,141450.11180635955,1,1,0,176988.05152326747,2.5500000000000003,0,0.7992,2,1,4.5,134714.39,Germany,Male,USD,1
801,39,9,238544.0220182344,2,0,1,189998.37446100332,2.35,0,1.2555,0,3,12.0,227184.78,France,Male,USD,0
813,21,4,45555.34279957688,1,0,1,176049.71848395927,1.25,0,0.2588,1,2,6.5,43386.04,Spain,Male,USD,0
797,46,9,0.0,2,1,1,184461.21549103424,1.35,1,0.0,1,4,12.0,0.0,Germany,Female,ZWL,1
827,53,3,209162.02545082063,1,1,0,81537.01424586035,2.8000000000000003,0,2.5652,2,1,3.5,199201.93,France,Male,USD,0
841,62,1,0.0,2,0,0,93670.9682484313,2.1500000000000004,1,0.0,2,1,2.0,0.0,Spain,Male,ZWL,0
763,74,5,0.0,1,1,0,124127.0851119701,1.8000000000000003,1,0.0,3,1,5.5,0.0,France,Female,USD,1
769,31,3,120492.59866485283,1,1,1,11748.084320886264,1.75,0,10.2555,1,3,5.5,114754.86,France,Female,USD,0
544,29,3,14479.896098301517,2,1,0,136355.96886874866,2.4000000000000004,0,0.1062,1,2,4.0,2895.98,Germany,Female,ZWL,1
563,62,9,29281.672773672733,1,1,0,108505.39643050892,2.0500000000000003,0,0.2699,2,1,9.5,5856.33,Spain,Male,ZWL,0
