CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,RFM_Score,Has_Zero_Balance,Balance_to_Salary_Ratio,Mobile_Money_Risk,Digital_Adoption_Score,Loyalty_Score,Real_Balance_After_Inflation,Geography,Gender,Account_Currency,Churn_Probability,Actual_Churn,Risk_Band
716,69,9,0.0,2,1,0,38171.58959152245,2.1500000000000004,1,0.0,2,2,10.0,0.0,0,1,1,0.7870283952277658,0,Critical (>70%)
639,23,8,213763.43737274336,1,1,0,158063.1124228157,2.8000000000000003,0,1.3524,2,1,8.5,203584.23,2,0,0,0.2486176061506544,0,Low (<30%)
484,18,3,154555.36760078557,2,1,0,82628.21954533784,2.9000000000000004,0,1.8705,1,2,4.0,147195.59,0,0,0,0.2943484678848308,0,Low (<30%)
794,36,6,152374.97469808228,1,1,1,199611.60659524423,1.75,0,0.7634,1,3,8.5,145119.02,0,0,0,0.24714213972094717,0,Low (<30%)
456,59,5,78087.6702796433,1,1,0,166424.16212523176,2.3000000000000003,0,0.4692,2,1,5.5,74369.21,2,0,0,0.5555322775509256,0,High (50-70%)
712,37,9,215211.9699930517,1,0,1,90347.51901839886,2.0,0,2.382,1,2,11.5,204963.78,2,1,0,0.25647347431524714,0,Low (<30%)
550,31,2,106227.45270500456,2,1,1,190285.7289114339,2.1,0,0.5582,0,4,5.0,101169.0,0,0,0,0.2604788625553984,0,Low (<30%)
720,65,2,0.0,2,0,0,146464.97864612952,2.1500000000000004,1,0.0,2,1,3.0,0.0,0,1,0,0.7980700527701581,1,Critical (>70%)
594,53,3,48549.00339848232,1,1,0,45665.17431788393,2.0500000000000003,0,1.0631,2,1,3.5,46237.15,0,0,0,0.5589146874716935,0,High (50-70%)
813,29,7,179616.5614275872,2,1,0,62972.60248953186,2.9000000000000004,0,2.8523,1,2,8.0,171063.39,2,0,0,0.2983232958655229,0,Low (<30%)
449,59,2,213865.44047865603,2,1,1,158264.43620133764,2.35,0,1.3513,0,4,5.0,203681.37,0,1,0,0.5116044701732098,0,High (50-70%)
498,74,2,214143.0982722944,1,1,0,177711.29651008904,2.8000000000000003,0,1.205,2,1,2.5,203945.81,1,0,0,0.6994575019858178,0,High (50-70%)
685,35,3,90199.2288420867,2,1,0,106078.04062666868,2.6500000000000004,0,0.8503,1,2,4.0,85904.03,0,0,0,0.42255596434430487,0,Medium (30-50%)
364,41,3,0.0,2,1,1,134999.63119992154,1.35,1,0.0,1,4,6.0,0.0,2,0,1,0.36399372174524974,0,Medium (30-50%)
692,70,3,0.0,3,1,0,16247.363283863377,2.5,1,0.0,2,2,4.5,0.0,2,1,1,0.8240095004592913,0,Critical (>70%)
438,58,4,219143.211476978,1,0,0,53960.086791305854,2.8000000000000003,0,4.0611,2,0,4.5,208707.82,1,1,0,0.6338323968058244,0,High (50-70%)
688,29,6,218655.5205174124,3,1,1,87963.55135407619,2.7,0,2.4857,0,4,9.5,208243.35,1,0,0,0.24400947253215174,0,Low (<30%)
685,40,3,243313.7892040442,1,1,0,162029.2427915105,2.8000000000000003,0,1.5017,2,1,3.5,231727.42,0,0,0,0.43174283159800037,0,Medium (30-50%)
639,49,7,0.0,1,1,1,62095.31356337966,1.0,1,0.0,2,3,9.5,0.0,2,0,1,0.38960094548579843,0,Medium (30-50%)
501,39,9,53601.13845799952,1,0,0,189936.8341093844,2.3000000000000003,0,0.2822,2,0,9.5,51048.7,2,0,0,0.386150166350335,0,Medium (30-50%)
551,26,4,0.0,1,0,1,42955.457589964586,1.0,1,0.0,2,2,6.5,0.0,2,0,1,0.25205789853627947,0,Low (<30%)
459,45,6,75499.51528847373,1,1,1,150943.71014987666,1.5,0,0.5002,1,3,8.5,71904.3,2,1,0,0.32799956826245036,0,Medium (30-50%)
559,36,5,102959.46273225916,2,0,0,138379.7670763822,2.9000000000000004,0,0.744,1,1,6.0,98056.63,0,1,0,0.5013189583531463,0,High (50-70%)
746,43,5,66805.49443239078,1,1,0,130134.0683535756,2.3000000000000003,0,0.5134,2,1,5.5,63624.28,0,1,0,0.5241435647713123,0,High (50-70%)
758,47,4,0.0,4,1,1,14910.514394789308,2.05,1,0.0,1,4,8.0,0.0,1,1,0,0.604981684590878,0,High (50-70%)
662,18,4,201626.0458753871,2,1,1,92114.12872129146,2.35,0,2.1888,0,4,7.0,192024.81,0,1,0,0.2042169780671346,1,Low (<30%)
423,44,0,0.0,1,1,1,162032.91393596947,1.0,1,0.0,2,3,2.5,0.0,0,1,0,0.49184284668532063,0,Medium (30-50%)
485,28,6,57810.4897326419,2,1,1,91188.04125934406,1.85,0,0.634,0,4,9.0,55057.61,2,0,0,0.1953766910787913,0,Low (<30%)
622,41,6,199646.3673579389,1,1,1,38358.53546986418,1.75,0,5.2046,1,3,8.5,190139.4,2,0,0,0.23768291051305315,0,Low (<30%)
